Name,Time,Human_Activity,Luminosity,Terrain,Presence_of_building,Mechanical_Activity,Nearby_vegetation,Safety
20251025_235949,Night,0,Dark,Muddy,1,0,High,Low
20251025_235952,Night,0,Dark,Muddy,1,0,High,Low
20251025_235959,Night,0,Dark,Muddy,1,0,High,Low
20251026_000007,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251026_000010,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251026_000117,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251026_000209,Night,0,Well_Lit,Road,0,0,Low,High
20251026_000213,Night,0,Well_Lit,Road,1,0,Low,High
20251026_000225,Night,0,Mildly_Lit,Road,1,0,Low,High
20251026_000229,Night,0,Mildly_Lit,Road,1,0,Low,High
20251026_000246,Night,0,Well_Lit,Road,1,1,Low,High
20251026_000259,Night,0,Well_Lit,Road,1,0,Low,High
20251026_000435,Night,0,Mildly_Lit,Rough,1,0,Medium,Medium
20251105_122352,Afternoon,0,Well_Lit,Rough,0,0,High,High
20251105_122043,Afternoon,0,Well_Lit,Rough,0,0,High,High
20251105-122034,Afternoon,0,Well_Lit,Rough,0,0,High,High
20251104-173029,Evening,0,Mildly_Lit,Rough,1,0,High,Medium
20251104_173013,Evening,0,Mildly_Lit,Rough,1,0,High,Medium
20251104_173005,Evening,0,Mildly_Lit,Rough,1,0,High,Medium
20251031_130238,Morning,0,Well_Lit,Road,1,0,Medium,Medium
20251031_130100,Morning,1,Well_Lit,Road,1,0,Medium,High
20251031_130054,Morning,1,Well_Lit,Road,1,0,High,High
20251031_130043,Morning,0,Well_Lit,Road,0,0,High,Medium
20251031_130040,Morning,0,Well_Lit,Road,1,0,High,High
20251025_233357,Night,0,Dark,Road,0,0,High,Low
20251025_233358,Night,0,Dark,Road,0,0,High,Low
20251025_233359,Night,0,Dark,Road,0,0,High,Low
20251025_233404,Night,0,Dark,Road,0,0,High,Low
20251025_233407,Night,0,Dark,Road,0,0,High,Low
20251025_233100,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233107,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233123,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233126,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233158,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233207,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233232,Night,0,Dark,Road,0,0,High,Low
20251025_233233,Night,0,Dark,Road,0,0,High,Low
20251025_233241,Night,0,Well_lit,Road,0,0,Low,High
20251025_233259,Night,0,Well_lit,Road,0,0,Medium,High
20251025_233302,Night,0,Well_lit,Road,0,0,Medium,High
20251025_233312,Night,0,Dark,Road,0,0,High,Low
20251025_233332,Night,0,Mildly_Lit,Road,0,0,Medium,Low
20251025_233339,Night,0,Dark,Road,0,0,High,Low
20251015_143021,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143022,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143023,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143031,Afternoon,0,Daylight,Road,0,1,High,High
20251015_143032,Afternoon,0,Daylight,Road,0,1,High,High
20251015_143035,Afternoon,0,Daylight,Road,0,1,High,High
20251015_143044,Afternoon,0,Daylight,Road,0,1,High,High
20251015_143052,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143056,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143058,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143102,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143104,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143106,Afternoon,1,Daylight,Road,0,1,High,High
20251015_143108,Afternoon,0,Daylight,Road,0,0,High,High
20251015_143115,Afternoon,0,Daylight,Road,0,0,High,High
20251015_143118,Afternoon,0,Daylight,Road,0,0,High,High
20251015_143120,Afternoon,0,Daylight,Road,0,0,High,High
20251015_143123,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143204,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143206,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143207,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143209,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143210,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143214,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143217,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143219,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143222,Afternoon,0,Daylight,Road,0,0,Medium,High
20251015_143224,Afternoon,1,Daylight,Road,0,0,Medium,High
20251015_143226,Afternoon,1,Daylight,Road,0,0,Medium,High
20251015_143227,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_143230,Afternoon,1,Daylight,Road,0,1,Medium,High
20251015_181118,Evening,1,Well_Lit,Road,0,1,Medium,High
20251015_181147,Evening,1,Well_Lit,Road,0,1,Medium,High
20251015_181208,Evening,1,Well_Lit,Road,0,1,Medium,High
20251015_181212,Evening,1,Well_Lit,Road,0,0,Medium,High
20251015_181226,Evening,1,Well_Lit,Road,0,0,High,High
20251015_181238,Evening,1,Well_Lit,Road,0,0,High,High
20251015_181245,Evening,0,Well_Lit,Road,0,0,Medium,High
20251015_181304,Evening,0,Well_Lit,Road,0,0,Medium,High
20251015_181313,Evening,0,Well_Lit,Road,0,0,Medium,High
20251015_181318,Evening,0,Mildly_Lit,Road,0,0,High,High
20251015_181327,Evening,1,Mildly_Lit,Road,0,1,Medium,High
20251015_181349,Evening,1,Mildly_Lit,Road,0,1,Medium,High
20251015_181452,Evening,1,Mildly_Lit,Road,0,1,Medium,High
20251015_181512,Evening,1,Mildly_Lit,Road,0,1,Medium,High
20251015_181548,Evening,1,Mildly_Lit,Road,0,1,High,Medium
20251015_181552,Evening,0,Mildly_Lit,Road,0,0,High,Medium
20251015_181719,Evening,0,Dark,Muddy,0,0,High,Low
20251015_181723,Evening,0,Dark,Muddy,0,0,High,Low
20251015_181728,Evening,0,Dark,Rough,1,0,Low,Low
20251015_181738,Evening,1,Dark,Rough,1,1,Low,Medium
20251015_181743,Evening,1,Dark,Rough,1,1,Low,Medium
20251015_181747,Evening,1,Mildly_Lit,Rough,1,1,Low,Medium
20251015_181805,Evening,1,Well_Lit,Rough,1,1,Low,Low
20251015_181845,Evening,1,Well_Lit,Road,1,1,Low,Low
20251015_214254,Evening,1,Mildly_Lit,Road,1,1,Low,Low
20251021_142410,Afternoon,0,Well_Lit,Road,1,0,Low,Low
20251021_142411,Afternoon,0,Well_Lit,Road,1,0,Low,Low
20251025_230242,Night,0,Dark,Rough,1,0,High,Low
20251025_230247,Night,0,Dark,Rough,1,0,High,Low
20251025_230555,Night,0,Well_Lit,Road,0,0,Medium,High
20251025_230659,Night,0,Mildly_Lit,Road,0,0,Medium,High
20251025_230731,Night,0,Well_Lit,Road,0,0,Medium,High
20251025_230837,Night,0,Well_Lit,Road,0,0,Medium,High
20251025_230848,Night,0,Well_Lit,Road,1,0,Medium,High
20251025_230951,Night,0,Mildly_Lit,Road,1,0,Medium,Medium
20251025_232025,Night,0,Well_Lit,Road,0,0,Medium,Medium
20251025_232048,Night,1,Well_Lit,Road,0,0,Medium,Medium
20251025_232054,Night,0,Dark,Road,0,0,Medium,Low
20251025_232203,Night,0,Dark,Road,0,0,High,Low
20251025_232301,Night,0,Dark,Road,0,0,High,Low
20251025_232319,Night,0,Dark,Rough,0,0,High,Low
20251025_232322,Night,0,Dark,Rough,0,0,High,Low
20251025_232323,Night,0,Dark,Rough,0,0,High,Low
20251025_232331,Night,0,Dark,Rough,0,0,High,Low
20251025_232343,Night,0,Dark,Rough,0,0,High,Low
20251025_232351,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_232355,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_232400,Night,0,Mildly_Lit,Rough,0,0,Medium,Medium
20251025_232429,Night,0,Well_Lit,Rough,0,0,Medium,Medium
20251025_232435,Night,0,Well_Lit,Rough,1,0,Medium,Medium
20251025_232443,Night,1,Well_Lit,Rough,0,1,Medium,Low
20251025_232500,Night,0,Well_Lit,Rough,0,0,Medium,Low
20251025_232725,Night,0,Well_Lit,Road,0,0,High,Medium
20251025_232754,Night,0,Well_Lit,Road,0,0,High,Medium
20251025_232804,Night,0,Well_Lit,Road,0,0,High,Medium
20251025_232914,Night,0,Well_Lit,Road,1,0,High,Low
20251025_232920,Night,0,Dark,Rough,0,0,High,Low
20251025_232922,Night,0,Dark,Rough,0,0,High,Low
20251025_233112,Night,0,Well_Lit,Road,0,0,High,Low
20251025_233140,Night,0,Well_Lit,Road,1,0,High,Low
20251025_233200,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233229,Night,0,Mildly_Lit,Road,0,0,High,Low
20251025_233411,Night,0,Dark,Rough,0,0,High,Low
20251025_233412,Night,0,Dark,Rough,0,0,High,Low
20251025_233414,Night,0,Dark,Rough,0,0,High,Low
20251025_233420,Night,0,Dark,Rough,0,0,High,Low
20251025_233422,Night,0,Dark,Rough,0,0,High,Low
20251025_233424,Night,0,Dark,Muddy,0,0,High,Low
20251025_233426,Night,0,Dark,Rough,0,0,High,Low
20251025_233430,Night,0,Dark,Rough,0,0,High,Low
20251025_233516,Night,0,Dark,Rough,0,0,High,Low
20251025_233837,Night,0,Dark,Rough,0,0,High,Low
20251025_233841,Night,0,Dark,Rough,0,0,High,Low
20251025_233944,Night,0,Dark,Rough,0,0,High,Low
20251025_234005,Night,0,Dark,Rough,0,0,High,Low
20251025_234017,Night,0,Dark,Muddy,0,0,High,Low
20251025_234135,Night,0,Dark,Rough,0,0,High,Low
20251025_234143,Night,0,Dark,Rough,0,0,High,Low
20251025_234157,Night,0,Dark,Road,0,0,High,Low
20251025_234242,Night,0,Dark,Road,0,0,High,Low
20251025_234247,Night,0,Dark,Road,0,0,High,Low
20251025_234252,Night,0,Dark,Road,0,0,High,Low
20251025_234315,Night,0,Dark,Road,0,0,High,Low
20251025_234321,Night,0,Dark,Road,0,0,High,Low
20251025_234330,Night,0,Dark,Road,0,0,High,Low
20251025_234336,Night,0,Dark,Road,0,0,High,Low
20251025_234758,Night,0,Dark,Road,1,0,High,Low
20251025_234818,Night,0,Dark,Road,0,0,High,Low
20251025_234820,Night,0,Dark,Road,0,0,High,Low
20251025_234831,Night,0,Dark,Road,0,0,High,Low
20251025_234842,Night,0,Dark,Road,0,0,High,Low
20251025_234843,Night,0,Dark,Road,0,0,High,Low
20251025_234857,Night,0,Dark,Road,1,0,High,Low
20251025_235136,Night,0,Dark,Road,0,0,High,Low
20251025_235143,Night,0,Dark,Road,0,0,High,Low
20251025_235151,Night,0,Dark,Road,0,0,High,Low
20251025_235156,Night,0,Dark,Road,0,0,High,Low
20251025_235726,Night,0,Dark,Road,0,0,High,Low
20251025_235728,Night,0,Dark,Road,0,0,High,Low
20251025_235852,Night,0,Dark,Muddy,1,0,High,Low
20251025_235855,Night,0,Dark,Muddy,1,0,High,Low
20251025_235905,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235934,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235936,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235939,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235940,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235942,Night,0,Dark,Muddy,0,0,Medium,Low
20251025_235955,Night,0,Dark,Muddy,0,0,Medium,Low
20251026_000004,Night,0,Dark,Muddy,0,0,Medium,Low
20251026_000009,Night,0,Dark,Muddy,0,0,Medium,Low
20251026_000039,Night,0,Dark,Muddy,0,0,Medium,Low
20251026_000051,Night,0,Dark,Muddy,0,0,Medium,Low
20251026_000054,Night,0,Dark,Muddy,0,0,Medium,Low
20251029_171818,Evening,1,Mildly_Lit,Road,1,1,Medium,High
20251029_173430,Evening,0,Mildly_Lit,Road,1,0,Medium,High
20251029_173459,Evening,0,Mildly_Lit,Road,1,0,Medium,High
20251031_125753,Morning,0,Daylight,Road,0,0,Medium,High
20251031_125756,Morning,0,Daylight,Road,1,0,Medium,High
20251031_125806,Morning,0,Daylight,Road,0,0,Medium,High
20251031_125842,Morning,0,Daylight,Road,1,0,Medium,High
20251031_125917,Morning,0,Daylight,Road,1,0,Medium,High
